DOC_ID,LABEL,REVIEW_TEXT
14,__label1__,"Only giving this 3 stars because it is so cheap. Has a very mild sedative effect, other than that it's pretty useless for stress/anxiety/panic attacks. Save your money ad get some ZenRx. Night and day difference.[[ASIN:B00HBGBRY4 ZenRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]"
15,__label1__,"I bought 2 of these in brown for my island. The hydraulic mechanism looks as though it might fail with over use, but otherwise, I really like them. The color is accurate, as is the description. There is some padding, but not much. Definitely not a chair that you would lounge around in, but great for a bar/counter in the kitchen."
16,__label1__,wonderful headphones had them now for 5 months and works great also great price and the sound is very clear and loud and soft the the ears love my headphones not to mention that they are sony
17,__label1__,"Video quality if superb, fits just fine, looks like a real mirror (I believe they enhanced this), my only gripe is I wish they put the cameras not side by side, but one on one side, the other on the other side. I only say this because due to where the left camera is place, there is wasted recording room when you start to turn it towards the driver side. Otherwise very happy with this so far."
18,__label1__,"As sling shots go, this is good enough for my purposes. Though, I would have preferred for the handle to be slimmer for better grip."
19,__label1__,"just to be fair, i really believe that this is a great slicer , and the idea was there, but unfortunately there are tricks when using this spiral slicer, i mean manual or something would have been helpful.<br /><br />I'm not saying something negative about this slicer because it does work, but however it did it took me almost a week in trying to learn how to use this slicer in cutting different kinds of vegetable.<br />the price i may say is fair, but i do wish that there were manuals in every box in showing us how to use this slicer properly."
20,__label1__,These tablets are especially helpful if you use the Secure dental adhesive.<br />I bought this stuff for my father. and he was satisfied with this.
21,__label1__,Looking decent as same shown in photos Thank You amazon .I saved cost as paint of this type is very costly and as this is digitally print looking decent.
22,__label1__,"I find that the older I get, the harder it is to lose weight....but I've gotten great results taking garcinia this month. I take it before breakfast, lunch and supper. I don't take the one after supper because I don't tend to eat much in the late evenings. I find it really cuts my down my appetite. I've lost 8 lbs this month, which is WAY more than I've lost in a long time."
23,__label1__,"I have had my camera for about 2 weeks now. The pictures are great, it is so easy to use. I love it!!"
24,__label1__,"It is highly recommended not to buy this product.  I took the suggested dosage for a week and felt nothing, no extra energy, no loss of appetite, no pounds lost."
25,__label1__,"The actual power supply is good, but the cable harness's had to be completely taken apart and re-oriented to avoid a birds nest of backwards wiring in tower. It's like they didn't test it to see if it works."
26,__label1__,"My personal physician recommended it and I bought at goo.gl/wa7AI ,with $10 off and free samples. Great stuff!!!!!<br /><br />I was told the enormous benifit of Oregano: it is one of the most powerful healing herbs and natural anti-biotics ever studied. It has been found in a recent study to be significantly better than all of the 18 currently used anti-biotics in the treatment of MRSA staph infections. The strong phenol anti-oxidants destroy pathogenic bacteria, viruses and yeasts. This super herb is very rich in anti-oxidant phytochemical flavonoids and phenolic acids. It is the third highest herb in oxygen radical absorbancy capacity (ORAC) with an impressive score of 200,129. The USDA ranks oregano's antioxidant capacity anywhere from 3 to 20 times higher than any other herb.<br /><br />You can see 2 bottles Oreganol P73 in my fridge. Wowww ... this oregano oil is just the best, it works miraculously! I had discomfort and dryness in my throat, then I took a couple drops of this oil in a tablespoon of water and drank it. This oil healed and soothed my throat almost instantly, and feel great up to now. Another time I felt my body so aching, then I took this oil in the same way - it set me free and felt great just in seconds. This oil is fantastic!!! I also have used oregano as emergency medicine to completely eliminate digestive distress after eating what I found out was contaminated food."
27,__label1__,I love the fact that you can easily read the measurements...great for those of us who's eyes aren't what they use to be LOL. I get so tired of trying to read the numbers on those others where it's the same color as the cup itself.
28,__label1__,I have bought several products from this seller and I have been pleased with all of them. The green coffee does exactly what it says it does! I am happy with it and will purchase another once I am finished with this bottle.
29,__label1__,"This is an extremely well made electric blanket. We tried 2 before this one & took both back. You cannot feel the wires and the material is very luxurious. I did feel it was quite pricey...about $50 more than the ones we took back. However, that being said, the quality indicates it will last for years."
30,__label1__,great product for coffee lover that want little more rich flavor on their coffee. Love that is easy to clean.
31,__label1__,I figured it would for sure fit a dasani bottle.... it doesn't.  I have been able to use it with cheap water bottles though.
32,__label1__,"This dinnerware set provides a very nice aesthetic. It will allow you to set your table very decoratively, and the beauty of a white dinnerware set is that it goes with any color scheme! Before acquiring this particular dinnerware set, I already owned a plain white set of dinnerware; but this set with the platinum rim is much nicer."
33,__label1__,The sides of the case didn't match my phone at all but the real issue is when the tan color became blackish in some parts. Looks unpleasant and can't use like that.
34,__label1__,"Since I have a low pain tolerance this facial hair remover didn't hurt very much. It did take a lot of hair off my face which I love because I hate peach fuzz, especially when wearing foundation. The tweezers were okay, loved the color but it was a little hard for me to use. Wish the package was bubble wrapped because it was so cute but mine got smashed in the process of shipping. Great customer service!!"
35,__label1__,The bag looks like a little smaller version than the one in the picture. The picture shows a lot and describes how much it holds. I found it hard to accommodate my D3100 and two lenses along with the battery charger.
36,__label1__,Bought this to use with my gel eyeliner. The handle is longer than I liked but it works well. I like that it is slanted and very easy to apply and clean.
37,__label1__,"This mask is great for the purpose of keeping out the light for sure! My hubs gets up at 4am to go work and he is a butthead by turning on all the lights. Since getting this, Ive havent had any issues sleeping through it! lol. It looks like a mini bra because its not like your traditional flat sleep masks that lay flat over your eyes. This one has little &#34;cups&#34; that doesnt touch your eyelids at all which is nice because with my old sleep mask it made me itchy. The only reason why I didnt give this 5 stars is because whenever I turned to sleep on my sides it kinda made it uncomfortable to sleep with it on. I had to sleep on my back to make it stay on. For me I hate sleeping on my back so :("
38,__label1__,I used this in my photoshoot last month.. It's really cool.. it has a nice built quality and vintage look.. really awesome..
39,__label1__,"My personal physician recommended it and I bought at goo.gl/5Zi8I , 600mg a tablet for only 5 cents, additional with $10 off and free samples. Great stuff!!!!!<br /><br />Recent biochemical and pharmacological studies have identified red yeast rice as a beneficial supplement for maintaining a healthy balance of cholesterol and related lipids in the body. Studies have reported lowering of LDL and triglycerides while increasing HDL. A clinical study on patients who have suffered a heart attack found that a partially purified extract of red yeast rice, reduced the risk of repeat heart attacks by 45 revascularization (bypass surgery/angioplasty), cardiovascular mortality, and total mortality by one-third; and cancer mortality by two-thirds.<br /><br />A recent study has found that nattokinase combined with red yeast rice can significantly lower cholesterol. I use it with Best Nattokinase( goo.gl/32EeB ) and this does a fabulous job of reducing my LDL and overall cholesterol( from 220 to 150 ). Amazing!"
40,__label1__,No go. All the reviews are fake. Buyer be ware. I took it and I got blood in my stool. Stopped taking it right away. Look all the reviews are positive with the same thing to say. Same reviewer. If anyone really took it as i did you would write a 1 star review because no-one wants blood in their stool.
41,__label1__,"My personal physician recommended it and I bought at goo.gl/5Hndv ,with $10 off and free samples. Great stuff!!!!!<br /><br />My personal physician told me that Biotin's role is multi-faceted and the vitamin is used for a number of different purposes.<br />1) Hair, Skin, Nails: Biotin is said to help grow healthy hair, is good for the skin and is used to help treat brittle toe and fingernails. Biotin is also used to treat hair loss (alopecia), and for people with premature gray hair due to low levels of biotin, it has helped combat graying hair.<br />2) Treatment of Candida: Some people use biotin to treat Candida because it is said to be able to prevent yeast from changing into its fungal form.<br />3) Fat Burner: Biotin is often promoted as a ""fat burner"" because one of the principle roles of biotin is to help with the metabolism of fats, proteins and carbs.<br />4) Reduce Blood Sugar: In some cases, doctors recommend biotin to help people with type 2 diabetes reduce their blood sugar.<br />5) Gene Replication: On a deeper level, biotin is integral for gene replication.<br />6) Blood Cells and Bone Marrow: Biotin also helps in the production of healthy blood cells and bone marrow.<br /><br />My hair was thinning from working at a very stressful job. It had gotten to the point where I couldn't successfully make a ponytail. I decided to have a try. After using the Biotin for 3 months, I am happy to report stronger, thicker hair. I haven't seen much growth in the length, but it is very much thicker, prettier, and more manageable. It's so much so that my hairdresser was very surprised! When I went to her to get a trim 2 months after the last haircut, it had grown to the level which would normally have taken 3 months at least to reach :)"
42,__label1__,i have read in many reviews that calcium hampers the burning of fat. But i am taking this since october. I am losing lbs. So i dont really care what it contains as long as it keeps me fit and going.
43,__label1__,Worked as expected and very cheap. It's very lightweight and durable and the length is just perfect for me and my wife. Although we still have 3 spare stylus pens we don't know what to use for.
44,__label1__,"My personal physician recommended this and I bought at goo.gl/xv1lP ,with $10 off and free samples. Great stuff!!!!!<br /><br />He told that the extract of pine bark has a beneficial effect in treating over 50 diseases associated with the effects of free radicals, and also provides prevention against them:<br />1) Asthma<br />2) Chronic venous insufficiency (a condition that involves leg swelling, 3) varicose veins, pain, itching, and other skin changes)<br />4) High blood pressure (hypertension)<br />5) Retinopathy (an eye condition commonly caused by diabetes)<br />6) Attention deficit hyperactivity disorder (ADHD)<br />7) Blood clots in the legs (deep vein thrombosis)<br />8) Diabetes<br />9) Impotence (also known as erectile dysfunction or ED)<br />10) High cholesterol<br />11) Male infertility<br />12) Heart attacks or strokes<br />13) Leg cramps<br />14) Pregnancy pains (such as back pain, pelvic pain, and leg cramps)<br />15) Painful menstrual periods (dysmenorrhea).<br />16) Pycnogenol is also said to improve athletic performance.<br /><br />""So, tell me what it cant heal?"" I asked. But whatever I had a try. I use it in my type 2 diabetes herbal treatment regimen and to add preventative circulatory and longevity potential to my life one veggie cap at a time. I have been taking this pycogenol for about a month so far and the main thing I have noticed is that my allergies/cough have pretty much gone away completely. At the beginning of January this year I got sick with a pretty bad cold and have had a cough ever since that is only at night and in the morning. My doctor told me that it was most likely allergies or asthma, neither of which I have had before. The pycogenol is the only thing I have added to my regimen of vitamins/supplements in the past month and now my cough is gone.Yay!! I am also hoping this will help with my diabetes which was the reason that I started taking it so hopefully I can report back seeing a benefit on that soon too. I plan to starttaking this twice a day instead of once so I'm hoping that will help."
45,__label1__,It is a true recommendable product which works great on my skin. I take a pill daily with a tall glass of water. It is the best way to restore and refresh the skin from within. My skin looks softer and like it has a glow after using this.
46,__label1__,"Shower curtain is a little thinner than I would like but it works just fine (for the price) with a liner behind it. Also, the darker color is almost too dark --I added some towels and s rugs of different shades of it to bring out the colors...looks nice!"
47,__label1__,I'd like to have a decent speaker set I can use for my dorm room and this is what I got for my budget and it's surprisingly good! The sound is very clear even when set to max volume and bass is decent. Perfect for me and my roommate and for some slumber party. It looks pretty conventional too. I was looking for something rather stylish.
48,__label1__,I don’t really care either way for the scent or appearance. It’s the part where it cleans that I needed.
49,__label1__,Searched all over for a large dutch oven. It's great for browning or carmalizing meat and with its large high grease does not splatter all over my stove. I also love it's ability to transfer it to the oven for roasting or braising. Great for soups. Easy cleanup.
50,__label1__,I had high hopes for a thickening shampoo instead it left me with less hair then before and I feel like it accelerated my hair loss further. I will not continue using it and will return the remainder for a refund
51,__label1__,"I have begun using many of the techniques discussed in this book to help deal with my anxiety and depression. It has been a huge help! I have also begun doing some meditation, and am slowly working on replacing my Zoloft with an OTC supplement. Between these three things, my life has improved 100%. Anyone out there looking for an OTC supplement for anxiety/depression should give XanRx a try.  Really helpful in conjunction with this book.[[ASIN:B00F5JJLOC XanRx - Dietary supplement reduces symptoms of anxiety, stress, depression, and panic attacks. Boost your mood, increase relaxation, and beat your anxiety with Kava kava, 5-htp, Theanine, Gaba, and more. Money Back Guarantee!]]"
52,__label1__,This art paper was exactly what I was looking for and made a great present for my younger brother who really loves to draw anything. It was also a great price!
53,__label1__,"The only down side is that i find they are not air tight not good for brown sugar; chips and crackers go stale. My crackers took on the ""taste"" of the container as well. Seem to be fine for my pasta, rice, or cereal that gets eaten quickly."
54,__label1__,"There is no question about the goodness of the camera. The product is as good as a new one (except for the warranty time). I trust this brand and if it's inspected and reconditioned from the factory, I rest my faith in it."
55,__label1__,"Love this case, it's very sleek and slides into your pocket perfectly. Every now and then my phone falls and it has protected it from those mishaps."
56,__label1__,"3 month ago, I found I have recently lost more hair than I used to be every time during shampooing my hair.  I have a thick hair but it seems looked a bit thinner now.Since then, I have been taking any steps that I can possibly to make my hair grow. And i know this product by my friend. After 2 weeks using, my hair has grown rapidly. I've gone from crying over my hair, to being pretty excited about it."
57,__label1__,"This is a nice stylus although I prefer the 'SERENE STYLUS PEN"" due to its small (4mm)nib tip for less screen obstruction. Its also very comfortable featuring its silicone grip. Check it out at  [...]"
58,__label1__,"I bought this camera for its night vision which I have found to be very poor, if you are using this camera in low light it works well however in total darkness it doesn't work at all. I was also using night vision booster LEDs and it still did not work in total darkness."
59,__label1__,"Ulysses Errata Once Penned<br /><br />""Ulysses"" ruined spring for me, a day in the life of a century.<br /><br />Self-pleasuring made ominous, to sell books, an overt device.<br /><br />The ""Anabasis"" is far better a template, the Odyssey foreshadows earliest in the tale, fate.<br /><br />Leopold does not Bloom, a wife's infidelity, they barely share a bedroom.<br /><br />The most dangerous book is the tell-all coming up for publication. Those who have very pointed concerns about its release fret, sweat, run it through the mind until you have a collective of murderous revenge seekers.<br /><br />Virginia Woolf, Master Novelist, was right to dismiss James Joyce's work. It can only be a tepid ode to a Grecian epic poem.<br /><br />Chris Roberts, God Made Out Verticallybe found in all of Rodmell, or England for that matter.<br /><br />Once this is finished, I walk down to the river. At the water's edge I weigh myself down with stones, my very eyes in my pockets, and slip into the deep.<br /><br />Virginia Woolf, Chronicler of Life<br /><br />* And I, C.R. would add, Best Novelist of the 20th Century<br /><br />You are loved Virginia everywhere. James Joyce, not so much, if at all. A day in the life is a small view, excluding the other billions of lives per day."
60,__label1__,It is very helpful to keep the car cool for kids and protect them from heat of the sun while we travel.Easy to attach to the car windows and it really stuck there.
61,__label1__,Useless Christmas gift. Kept on trying to use it on different fabrics with no luck. Produces steam but not enough to do anything. Useless.
62,__label1__,"J. D Salinger was righteous...<br /><br />Not in his scribblings, but in this case...<br /><br />No author photo...anywhere...on the book...<br /><br />On the cover especially, oh cover...<br /><br />This disastrous, forced T. C. Boyle pose...<br /><br />Fact, not fiction...<br /><br />The redhead is never the leading man...<br /><br />In moving pictures, still photography...<br /><br />Anti-hero, the step child...<br /><br />The somebody I don't want too see...<br /><br />Red blazer, black tee is all 80s...<br /><br />I suppose better off red, than dead...<br /><br />The font and manufactured stare...<br /><br />Scream bad album cover...<br /><br />Jesus Christ couldn't pull it off...<br /><br />But together we laugh...<br /><br />At T. C.<br /><br />And share a piece of bread...<br /><br />Get polluted on crushed wine...<br /><br />And we laugh some more...<br /><br />The young Jesus...<br /><br />Before the miracles, sermons...<br /><br />The Cross so far years away...<br /><br />We trip out on Led Zeppelin...<br /><br />Chris Roberts, God of Jesus Christ (The laughing Prophet)"
63,__label1__,"Pen Drive is very good in this budget, it works faster and no any problem yet, delivery was very fast."
64,__label1__,"The product actually helped out in a lot of areas, particularly where my workout performance is concerned. But I was expecting it to burn fat. Maybe my research was wrong?"
65,__label1__,This is a SMOKING HOT deal. This is the second unit in the last 2-3 weeks They work when you first plug them in but watch out. Somewhere between 1-5 charge cycles these things get so hot you can't touch them. Then they pop and smoke.....game over. No more charging.   The only reason I am giving this a 1 star is the returns have been easy. Reading all of the reviews it looks like about 1 in 3 are good chargers. I'm going to step up and pay the $$$$ for a real one this time.  Don't want to risk burning down the house over a $30 difference between junk and genuine Apple product. Yes it sucks but get yourself the real deal here http://www.amazon.vote/gp/product/B008ALAAV0
66,__label1__,It really does work. I have been taking these for a month and a half and I have lost about 7 pounds. I am so happy that it works and that I have lost weight. I wanted to give it time before I wrote my review but it is totally worth trying!
67,__label1__,"I am a brown skin young lady who likes the look of a tan. I had a trip plan to Miami. Not wanting to sit outside in the damaging sun for long periods, I thought I would help my tan by using this product. For three days I used this product following the directions exactly as stated. This product did not work. My skin does not have any hint of a tan."
68,__label1__,"This is a fun little gadget to use and I'm a happy camper. It works great and as described. I found the short videos easier to understand than the instructions on the accompanied manual, but you don't need any of those to know how to operate this thing. Very pleased with the tool, however I wish they included a few more recipes."
69,__label1__,"When I made this purchase, I thought it was a expensive. But, it looked exactly like what I had in my mind. I was pleasantly shocked when it turned out to be high grade metal construction. It turned out to be an ornamental piece on my desk. There is no doubt in my mind: This will last a lifetime and look good doing it."
70,__label1__,"$50 for some stinky tablets. Nothing, nada, no effect whatsoever. It's taking me awhile to write a review because I was trying to give them time to work. It wasn't until I landed up in the hospital (Not Because Of This Product) that I realized I blew 50 bucks. The Doc asked me all that I was taking and I gladly told him about this product thinking maybe it was the cause of my hospital stay (It was pneumonia) He and the nurse both sensed my fear and promptly me told me they were just glorified vitamins with big cheesy smiles on their faces. OH THE SHAME!!!!"
71,__label1__,"It of high quality and matched the exact product description. The camera might be a big tough for beginning digital photographers, but it's wonderful for me. I was familiar with most of the features but the instruction manual taught me several new things I could do."
72,__label1__,I really felt like this product did absolutely nothing n I took it for two months. I'm kinda disappointed. :(
73,__label1__,honestly skip the hand pump and get a real motorized one... yes they are expensive but have tremendous value.
74,__label1__,"I am always struggling with my weight. At college I lost the battle. I joined a Fraternity and from there on I gained 32 pounds. It's mostly due to fast food, and beer.<br /><br />I DECIDED to get back on track. I started to run, and do some hitting on a speed bag. With Garcinia Cambogia my appetite dropped and I don't eat as much as I used to.  So far I've lost 6-7 pounds."
75,__label1__,"This company sent me a email after i purchased this on eBay and asked me to review the product on amazon.  They probably should have asked me first what i thought, but here it goes. I bought it for use with my appradio3 and paid an additional $20 to have it installed. After about 2 days, it would not allow video to display constantly and just kept flashing between the warning message and the video about every 6 or 7 seconds. It was like one second of video followed by 6-7 seconds of warning message. It would do it over and over and got really annoying. I took it back to my installer, and they said it was installed correctly. I had no amps, or other stuff and my car does not need a radio module (older car here with no fancy computer stuff except for new pioneer radio). I agreed to an additional $30 removal to have the bypass bench tested and it did the same thing on the bench. The installer fed power to the blue and black wires, and connected an alarm led to the green wire. It did the same flashing on the bench it did in the car. For $20, i dont want to deal with the hassle of returning it, but it cost me more out of pocket and time to make it worth it. I do not know if the seller should be responsible for this, but i did lose out a lot of money due to their product so I am not sure if I should pursue it. I ended up buying another bypass from another company, and it has worked fine for over a month now. Maybe I just got a bad one or what, but it sucked to have to deal with it. Just my $.02 so take it or leave it. My emails to the company through their website still have went unanswered to date, and its been weeks. I searched online about this and diybypass is really a no-name company so go figure."
76,__label1__,"I'm not really sold on the flavor and texture of the contents. When a rather lazy roommate served this, it was a night of hilarity which involved some food throwing. Still, it might just me who is too picky."
77,__label1__,"I am a coffee drinker and considered a pod machine but what the heck, just one cup? I studied the reviews and decided to go with this one. Have no problem with the plastic smell that some have mentioned. Two small negatives that I do have are the display is not lit and can not see in dim light and the sight gage is on the wrong side for the position I have it on the counter, but I can live with these, it makes a great cup of coffee."
78,__label1__,i love the necklace but in order to use them you really need to accessorize and the necklace is really good if you have accessories that can match up to it.<br /><br />it is just fortunate that I have some gothic looking items that can enhance the beauty of this item.
79,__label1__,I recently bought this item and the case did not last more than a week.  I should give it more stars but I cannot.  But for the price.  I guess you can't complain!
80,__label1__,"My 19 month old loves these videos, especially the shapes DVD for some reason. She can say circle and star now, and recognizes some others when she plays with her [[ASIN:B0089W1IGG Baby's First Blocks]]. She can also count from one to five, and names a few letters here and there.<br /><br />I give the videos credit that they hold her attention and she has learned a lot from them. They are slow paced and not too flashy like most cartoons on TV. The animations are colorful and the music is decent.<br /><br />However, they get boring for adults to watch. The videos repeat the word over and over again, which gets tiring for me to listen to. In all fairness the repetition definitely helps her to learn faster so I guess I should just deal with it.<br /><br />Pros:<br /><br />* The videos work well.<br />* My daughter loves them.<br /><br />Cons:<br /><br />* Boring for adults to watch."
81,__label1__,Used it in the last few days. It is well made and appears to have high strength and<br />does its job well.
82,__label1__,Toasts bread really nice and looks good on my counter. I haven't had any uneven burns yet and the toaster makes my kitchen look like it has this heavy machinery vibe.
83,__label1__,"I love it. It fits really well in the driver's seat. I'm not used to driving long distances that's why I ordered this one for back support. I tried it first on my computer chair and it really feels comfortable. I like the material of the cover made too. It's soft and very nice material. I tried it on the driver's seat as well and it's perfect. It helps me relaxed my back don't need to actually pull the driver's seat forward. I think I made a great decision in buying this Lumbar cushion. The only thing that I'm worried is the durability of this cushion. I think it's good if you don't use it too much because I feel like it's not hard enough not to sag after couple years. I hope I'm wrong. But you know what, it's perfect for the present and for probably the coming whole year."
84,__label1__,Goes on thick but absorbs well and leaves my skin smooth and soft with a light scent of cucumber. a little goes a long way and too much can feel greasy so start with just a dab or two.
85,__label1__,This item would have been a nice item however the rain shower head is the first thing I seen an was looking for that item. Big surprise when it arrived a seen this very tiny shower head. What I have standard is bigger. Very disappointed. Returned it.
86,__label1__,"These are my &#34;go-to&#34; earrings. Very comfortable and the style is great. The only downside (to me) is the wire is so curved they are a little hard to get on, but I guess that means they won't come out (inadvertently) either."
87,__label1__,"Of all the natural oils, I believe this is the best and the one every girl needs.<br />Definitely see a difference in my skin after just 3 weeks of use. And the oil smells very pleasant.<br /><br />Absorbs quick into my face. However, I took a star off because of the dispensing method. I hope they have a dropper or pump."
88,__label1__,"The Holidays are here and so are the extra pounds. Need something to help get the extra weight maintain, Been taking this for the last couple of weeks been eating like crazy and no weight gained which is a good sign, but no weight lost either. Maybe after the holidays I will notice the weight loss because I wont be eating as much."
89,__label1__,"These are odd slippers, they fit great for a day or so and then felt very large. I either shrunk or they stretched out. I have a normal sized foot and they now seem wide and loose. So instead of walking in them I have to shuffle around in them like an old man. For now they will do... I will look around and see what else I can find."
90,__label1__,This organizer arrived today and as soon as I opened the box I was completely DISAPPOINTED at how cheap it looked. I would have rated it NO STARS if I could have.  I have purchased many many acrylic organizers and this is the first time I have ever so sad about one that I purchased.  I will be returning it tomorrow due to it being extremely poor quality.
91,__label1__,"I can feel how I lose belly fat, It is like magic. I never thought this kind of product exist. After started with some cardio 3 day a week the result are even better. Unreliable result, must try it"
92,__label1__,"I have to say that I am pleased with my decision to purchase one of these humidifiers.  The air in my house gets very dry at times and I have woken up to a nose bleed.  That is not a good feeling to waking up to, so I chose to buy one to help with my house and to put moisture in the air.  I can tell a difference in the house already."
93,__label1__,The wife in her ever ongoing weight control regimen has landed on this product with it's 250mg of Forskolin. She likes that it is easy to swallow size and no bad after taste. She has not been late night snacking as much as usual and feel's comfortable that she will lose more than 3 pound's than she has lost in the last week.
94,__label1__,"The keys! They actually feel mechanical, even though they are membrane. They have a sort of tactile feedback without the noise of springs. I would (almost) argue that they have a better feeling then Cherry MX, but are slightly harder to type on."
95,__label1__,My girlfriend and I always use condom because we don't want to mess up.<br />This brand really helps us a lot.<br />I would definitely recommend this!
96,__label1__,It was well worth the money. I would definitely order it again. It is heavy and warm. You would love it. The only thing is trying to stick it back in the bag. Warm that is for sure.
97,__label1__,I thought this was shatter proof my baby (one and a half year old) dropped it to the floor and it broke. Will try customer service and c if they will replace...
98,__label1__,"I enjoy taking a nap when I get home from work. This product not only helps me sleep better, but does so in a way that wont ruin my makeup. The shape of the eyes makes it so that it doesn't even touch your eyelids, so your eye make-up will survive the nap. My only issue with the mask is that light seeps in a bit around the nose."
99,__label1__,"It was so poorly made that it was damaged in getting delivered, twice. I had to keep the second one because my son was going to camp and we needed it right away. Looks nice and rolls nice, but eh box is made of a thin material and rivets were missing and dents. A quality footlocker would have withstood the shipping."
100,__label1__,"I haven't been taking it for very long but I'm excited by the simplicity of the ingredients list!  The capsules are labelled as &#34;Veggie Capsules&#34; which is slightly confusing because no where does it list what exactly is in the pills, just &#34;Forskolin Blend&#34; which...could really be anything.  I plan on doing a little more research on this &#34;Coleus Forskohlii root extract&#34; :)<br /><br />Love as always,<br />~Heather"
101,__label1__,"I started taking Gingko Biloba about 7 months ago because, as I've grown older, I've noticed that my brain processes have slowed down and become a bit muddled.By taking this product TWICE a day for the last 7 months, that 'muddy' sensation in my brain is gone, I can remember the little things that i would normally forget, and I'm able to learn new tricks on my computer again. Thank heavens! I take one pill in the morning and another in the evening.  I am not sure if I will ever stop taking these, they help so much.  I do take the brain teasers online as well and that seems to help with my brain function as well."
102,__label1__,I love how my face feels after using this. I normally use a clay mask but I think I will continue using this one instead.
103,__label1__,I used to Nioxin and really liked it until they changed their formula and lab to mexico.<br /><br />I tried this and its a good cleansing shampoo for what it is but it hasn't help with my scalp or flakes at all.<br /><br />I does smell good and the price is reasonable compared to other brands but I really wished it had worked for me.<br /><br />I will continue to use it and update if it does (and upgrade the stars too)
104,__label1__,"For the price, this is a pretty good receiver, but if you are wanting soemthing that gives you a lot of options and will last a really long time, then I would suugest going with the Onkyo TX-NR616 7.2 version.<br /><br />http://www.amazon.com/gp/product/B0077V88W2/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B0077V88W2&linkCode=as2&tag=wwwworkoutwei-20"
105,__label1__,"Doesn't do a bad job of keeping things running a bit cooler when I'm working the CPU (usually compiling), not sure how well it would work for laptops with larger screens though (using it with a 15.4"")."
106,__label1__,"These did not fit my printer even though they were numbered correctly. Speedy Ink included a free pack of photo paper in the mailing, but it was small consolation given I couldn't print. I hope this was a fluke because packaging and shipping = commendable."
107,__label1__,"I have been using it for one week now and I can say it's really amazing. It contains charging station, AC adapter, the charging station has two docks, and you can put the controllers with charging or without charging."
108,__label1__,it was exactly what I was looking for and the price was very good and I would recommend it to everyone thank you
109,__label1__,Much more difficult to use any regular ice tray. The circles don't always come out circular and there's only four cubes in one tray which isn't nearly enough. Even though they give two trays they are still somewhat difficult to use. They banned a lot and are hard to fill with water
110,__label1__,I love these bedsheets. I thought all I ordered was the fitted but actually got the whole set! The price was very reasonable the quality is great. This is the second set I have used and have been happy. Will order another one so I have three sets. I only use this even during the summer months.
111,__label1__,I got this from my best friend. we tried it and at first you would really love the smell. its soooo yummy.  YOu will want to lick it off your face. but dont!. I don't find it to be as effective as it says. I've put it on for about 4 times now.  dont see any change really. But i do love the smell.
112,__label1__,I really enjoy the scent of this Rosemary oil. It isn't super strong but it does the job. I keep it around for late nights and early mornings. Perks me right up so I can get through.
113,__label1__,"Was pretty cheap and works just fine. Holds a good bit of video and pictures, which I needed. I'm a blogger. Formatted fine with my camera and was compatible for my computer. Mac Book Pro."
